ㄚ	a1
ㄐㄧ	ji1
ㄐㄧˊ	ji2
ㄐㄧˇ	ji3
ㄐㄧˋ	ji4
˙ㄐㄧ	ji5
ㄐㄧㄚ	jia1
ㄐㄧㄚˊ	jia2
ㄐㄧㄚˇ	jia3
ㄐㄧㄚˋ	jia4
˙ㄐㄧㄚ	jia5
ㄐㄧㄢ	jian1
ㄐㄧㄢˇ	jian3
ㄐㄧㄢˋ	jian4
˙ㄐㄧㄢ	jian5
ㄐㄧㄤ	jiang1
ㄐㄧㄤˇ	jiang3
ㄐㄧㄤˋ	jiang4
˙ㄐㄧㄤ	jiang5
ㄐㄧㄠ	jiao1
ㄐㄧㄠˊ	jiao2
ㄐㄧㄠˇ	jiao3
ㄐㄧㄠˋ	jiao4
˙ㄐㄧㄠ	jiao5
ㄐㄧㄝ	jie1
ㄐㄧㄝˊ	jie2
ㄐㄧㄝˇ	jie3
ㄐㄧㄝˋ	jie4
˙ㄐㄧㄝ	jie5
ㄐㄧㄣ	jin1
ㄐㄧㄣˇ	jin3
ㄐㄧㄣˋ	jin4
˙ㄐㄧㄣ	jin5
ㄐㄧㄥ	jing1
ㄐㄧㄥˇ	jing3
ㄐㄧㄥˋ	jing4
˙ㄐㄧㄥ	jing5
ㄐㄩㄥ	jiong1
ㄐㄩㄥˇ	jiong3
ㄐㄩㄥˋ	jiong4
ㄐㄧㄡ	jiu1
ㄐㄧㄡˇ	jiu3
ㄐㄧㄡˋ	jiu4
˙ㄐㄧㄡ	jiu5
ㄐㄩ	ju1
ㄐㄩˊ	ju2
ㄐㄩˇ	ju3
ㄐㄩˋ	ju4
˙ㄐㄩ	ju5
ㄐㄩㄢ	juan1
ㄐㄩㄢˇ	juan3
ㄐㄩㄢˋ	juan4
ㄐㄩㄝ	jue1
ㄐㄩㄝˊ	jue2
ㄐㄩㄝˇ	jue3
ㄐㄩㄝˋ	jue4
ㄐㄩㄣ	Jun1
ㄐㄩㄣˇ	Jun3
ㄐㄩㄣˋ	Jun4
ㄎㄚ	ka1
ㄎㄚˇ	ka3
ㄎㄚˋ	ka4
ㄎㄞ	kai1
ㄎㄞˇ	kai3
ㄎㄞˋ	kai4
˙ㄎㄞ	kai5
